Name,SA_u,SA_d,Cubic,LWL,cluster
"""Bene_40.7""",0.478,0.343,0.527,10.62,Cluster 1
"""Sense_50""",0.356,0.199,0.538,16.0,Cluster 1
"""X-37""",0.37,0.313,0.619,9.79,Cluster 1
"""J/35""",0.354,0.363,0.461,9.14,Cluster 1
"""Peterson_37""",0.342,0.362,0.502,9.42,Cluster 1
"""NYYC_42""",0.435,0.413,0.476,11.29,Cluster 1
"""J/130""",0.509,0.512,0.499,11.64,Cluster 1
"""J/92""",0.522,0.528,0.391,7.86,Cluster 1
"""Columbia_32""",0.428,0.53,0.315,8.23,Cluster 1
"""J92S""",0.411,0.521,0.385,8.14,Cluster 1
"""Hobie_33""",0.423,0.444,0.394,9.3,Cluster 1
"""J/125""",0.514,0.722,0.369,11.28,Cluster 0
"""Farr_395""",0.417,0.544,0.454,10.4,Cluster 1
"""Farr_40""",0.52,0.517,0.325,10.75,Cluster 1
"""Mumm_30""",0.499,0.501,0.297,8.41,Cluster 1
"""Mumm_36""",0.433,0.389,0.336,9.68,Cluster 1
"""JS_9000""",0.446,0.484,0.497,8.51,Cluster 1
"""Beneteau_Figaro_Solo""",0.601,0.375,0.31,8.4,Cluster 1
"""J/22""",0.416,0.406,0.27,5.79,Cluster 1
"""Mac_26X""",0.37,0.276,0.491,7.01,Cluster 1
"""J/70""",0.395,0.466,0.295,6.24,Cluster 1
"""J/27""",0.406,0.367,0.411,7.16,Cluster 1
"""Wavelength_24""",0.403,0.421,0.279,6.2,Cluster 1
"""Pearson_Flyer_30""",0.35,0.332,0.366,7.62,Cluster 1
"""J/30""",0.312,0.321,0.411,7.62,Cluster 1
"""470_Dinghy""",0.485,0.371,0.255,4.4,Cluster 1
"""S2_7.3""",0.392,0.292,0.503,5.64,Cluster 1
"""Carkeek_40""",0.719,0.716,0.267,11.45,Cluster 0
"""Melges_24_OD""",0.629,0.644,0.217,6.71,Cluster 0
"""Melges_32_OD""",0.741,0.814,0.225,9.7,Cluster 0
"""Viper_640""",0.786,0.758,0.108,5.82,Cluster 0
"""Martin_243""",0.909,0.77,0.163,7.32,Cluster 0
"""B32""",0.671,0.53,0.256,8.38,Cluster 0
"""Seascape_27""",0.7,0.641,0.272,7.5,Cluster 0
"""E-Scow""",0.85,0.9,0.182,6.5,Cluster 0
"""Flying_Tiger_10m""",0.629,0.656,0.316,9.24,Cluster 0
"""Confidential_Design""",0.803,0.909,0.203,10.06,Cluster 0
"""GP26""",0.605,0.661,0.223,7.9,Cluster 0
"""C&C_30_OD""",0.654,0.737,0.264,8.75,Cluster 0
"""Easterly_30""",0.285,0.198,0.676,7.01,Cluster 1
"""Cal_48""",0.43,0.323,0.909,10.67,Cluster 1
"""Newport_41""",0.288,0.315,0.87,9.14,Cluster 1
"""Pearson_Comm.""",0.331,0.23,0.836,5.64,Cluster 1
"""TP52_Rule""",0.651,0.635,0.293,15.0,Cluster 0
"""Santa_Cruz_70""",0.493,0.488,0.312,18.9,Cluster 0
"""Volvo_70""",0.757,0.834,0.256,21.5,Cluster 0
"""Volvo_65""",0.898,0.77,0.228,20.0,Cluster 0
